"Label;Description"
"Sports;AP - With Kobe Bryant's sexual assault trial scheduled to begin in less than two weeks, speculation is mounting that prosecutors are looking for a way to dismiss the charge after a series of setbacks."
"Sports;AP - Pitcher Mike Bacsik was designated for assignment by the Texas Rangers on Sunday after going 1-1 with a 4.60 ERA in three starts."
"Sports;AP - Arsenal opened its defense of its English title with a 4-1 win at Everton on Sunday, making it 41 straight games without a loss in the Premier League."
"Sports;AP - Spain's Rafael Nadal won his first ATP singles title Sunday beating Argentina's Jose Acasuso 6-3, 6-4 in the final at the Idea Prokom Open."
"Sports;AP - George Zahringer III is back for another shot at the U.S. Amateur. The New Yorker is one of three returning quarterfinalists for the tournament which begins Monday at the Winged Foot Golf Club. Lee Williams of Alexander City Ala. and Patrick Carter of Lesage W.Va., complete the trio from last year's championship that was won by Nick Flanagan of Australia."
"Sports; ATHENS (Reuters) - Spain's Pau Gasol got the better of  China's Yao Ming in Olympic basketball's own clash of the  giants Sunday."
"Sports; KOHLER, Wis. (Reuters) - British Open champion Todd  Hamilton made the first significant move in the U.S. PGA  Championship final round Sunday as overnight pacesetter Vijay  Singh prepared for an afternoon tee-off."
"Sports; ATHENS (Reuters) - Iran's world judo champion Arash  Miresmaeili refused to compete against an Israeli Sunday  triggering a fresh crisis at the Olympic Games where race,  creed or color are barred from interfering in sport."
"Business;Target the abusers of legal weapons We can all share the outrage expressed by columnist Steve Bailey (''Summer Sizzler, quot"
"Business;President Bush has been saying that the US economy has ''turned the corner. quot"
"Business;A Marlborough-based technology company is suing five former employees including three senior managers, for allegedly conspiring against their employer while working on opening a competing business."
"Business;Central Square in Lynn should be looking a bit brighter. New sidewalks curbs fences lights landscaping and road improvements are planned for the Gateway Artisan Block a key area of the square with \$830,000 in state grant money given to Lynn last week."
"Business;A lawsuit against Gary Winnick the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded."
"Business;Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil."
"Business;Kevin B. Rollins the new chief executive of Dell talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place."
"Business;With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility."
"Business;Quality Distribution is hammered after reporting a large loss for the second quarter."
"Business;If Hurricane Charley blows your house down, how can you make your insurance company pay?"
"Sci Tech;SPACE.com - DENVER, COLORADO -- Those twin robots hard at work on Mars have transmitted teasing views that reinforce the prospect that microbial life may exist on the red planet."
"Sci Tech;AP - India is rethinking its plan to send a man to the moon by 2015 as the mission would cost a lot of money and yield very little in return, the national space agency said Thursday."
"Sci Tech;SPACE.com - When Venus crossed the Sun June 8 showing up as a clear black dot to the delight of millions of skywatchers around the world, astronomers noted something less obvious: The amount of sunlight reaching Earth dipped by 0.1 percent for a few hours."
"Sci Tech;SPACE.com - For those who want to explore Mars but cant wait for a spacecraft to take them there, NASA scientists have reformulated a website that lets the general public search data and images from previous missions."
"Sci Tech;AP - The U.S. Forest Service on Wednesday rejected environmentalists' appeal of a plan to poison a stream south of Lake Tahoe to aid what wildlife officials call ""the rarest trout in America."""
"Sci Tech;SPACE.com - One of the pleasures of \  stargazing is noticing and enjoying the various colors that stars display in \  dark skies. These hues offer direct visual evidence of how stellar temperatures \  vary."
"Sci Tech;AP - Britain granted its first license for human cloning Wednesday joining South Korea on the leading edge of stem cell research, which is restricted by the Bush administration and which many scientists believe may lead to new treatments for a range of diseases."
"Sci Tech;AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day."
"Sci Tech;SPACE.com - A leading space scientist has called to question the validity of human spaceflight suggesting that sending astronauts outward from Earth is outdated too costly, and the science returned is trivial."
"Sci Tech;AP - Chinese astronauts are in the final stages of preparing for a manned space mission that will orbit the globe 14 times before returning to Earth, a state-run newspaper reported Thursday."
