Label,Description
4,"  CHICAGO. Dec. 15 -- Decrying violence in fast-selling video games, Gov. Rod Blagojevich (D) wants Illinois to make it illegal for anyone younger than 18 to buy violent or sexually explicit games. Among the targets would be the Grand Theft Auto series, Halo 2 and Mortal Kombat."
4,Latest setback for the Bush administration's effort to build a system for defending the country against ballistic missile attack fuels doubts about the system.
4," Federal oversight of crops genetically engineered to produce medications  in their seeds and leaves is inadequate to prevent unwanted contamination of food crops, according to an analysis released yesterday by a scientific advocacy group. As a result, the report concludes, consumers are at risk of inadvertently dosing themselves with prescription drugs while eating a morning bowl of cereal."
3,"Reuters - Oil prices jumped to the highest\level in two weeks on Thursday, buoyed by a cold weather front\in the United States and below-average stocks of winter heating\fuels."
3, PHILADELPHIA (Reuters) - Johnson   Johnson &lt
3, WASHINGTON (Reuters) - The U.S. Securities and Exchange  Commission on Wednesday said Fannie Mae misapplied accounting  principles and called on the mortgage finance company to  restate earnings.
3, TOKYO (Reuters) - Japanese stocks recouped early losses by  late afternoon on Thursday as banks clawed back into positive  territory a day after a key survey showing waning business  sentiment had sparked a sell-off in the sector.
3,"EAST PEORIA, Ill. United Auto Workers officials say they plan to hold a news conference tomorrow after the union and heavy equipment giant Caterpillar Incorporated reached a tentative agreement tonight on a new six-year contract."
1," MADRID (Reuters) - Five passengers were killed and around  30 injured when their bus flipped over after tearing through  the central reservation of a motorway in the northern Spanish  province of Burgos, officials said on Sunday."
1,Hilton hotels in Indonesia ratcheted up security on Thursday but said they were seeing few cancellations amid warnings from Western governments that one of their chain could be attacked by militants.
1,Reuters - President Bush Wednesday warned Iran\and Syria not to meddle in Iraq ahead of elections scheduled\for January 30 and voiced new hopes of forging peace between\Israel and the Palestinians.
4,"In an effort to revitalize the struggling Itanium computer chip business, Intel and Hewlett Packard said Wednesday that Intel would hire a 300-person Hewlett-Packard design team based in Fort Collins, Colo."
2,"CBC SPORTS ONLINE - The Houston Rockets activated point guard Tyronn Lue off the injured list Wednesday. Lue, who missed five games with a sore right knee, had four points, an assist and a steal in Houston #39"
2,"The Braves will have to face Pedro Martinez regularly for the next four years. If the former Boston Red Sox right-hander with the questionable shoulder can stay healthy, that is."
2,In summarizing the swap of rejected proposals that led to the latest and gloomiest freeze of negotiations in the National Hockey League #39
2," ATLANTA (Sports Network) - Isma'il Muhammad scored a  team-high 14 points, Jarrett Jack added 13 and third-ranked  Georgia Tech rolled over James Madison, 72-47, in a non-league  tilt at the Alexander Memorial Coliseum."
1, WASHINGTON (Reuters) - President Bush Wednesday warned Iran  and Syria not to meddle in Iraq ahead of elections scheduled  for January 30 and voiced new hopes of forging peace between  Israel and the Palestinians.
1," BOGOTA, Colombia (Reuters) - The chief of international  relations for Colombia's biggest leftist rebel group, who once  sought support from Libyan leader Muammar Gaddafi, was arrested  after a months-long manhunt, police said on Wednesday."
1, KINSHASA (Reuters) - Congolese government forces clashed  with rebels at a town near the border with Rwanda for a third  day Wednesday as the two countries traded heated accusations  over who was involved in the fighting.
1,Charles Clarke is set to start work as Home Secretary after David Blunkett's shock resignation in a visa row.
3,The Justice Department announced yesterday that it would defer bringing criminal securities fraud charges against the America Online unit of Time Warner as long as Time Warner adopted 
3,"The Russian oil giant Yukos sought Chapter 11 bankruptcy protection in the United States on Wednesday, requesting an emergency court hearing in Texas to stop the Russian "
3,"SAN FRANCISCO (CBS.MW) -- ExxonMobil Corp. and Qatar Petroleum said Wednesday they had lined up \$7.5 billion toward financing their giant Qatargas II project, which aims to export liquefied natural gas from the Middle East nation to Britain."
1," LIMA, Peru (Reuters) - Five Peruvian police officers died  in a shootout on Sunday with an armed group who took 10  hostages in the siege of a police station in southern Peru on  New Year's Day, RPP radio reported."
4,"CUPERTINO, Calif. Apple Computer is trying to stop RealNetworks from taking a bite out of the iPod market. Apple is blocking the technology used by RealNetworks Harmony music downloading service."
2,"ST. PAUL, Minn. Dec 16, 2004 - Andy Roddick beat Mardy Fish 6-3, 6-3 in the Minnesota Tennis Challenge exhibition Wednesday night."
2,TORONTO (CP) - It was certainly an unlikely ending to the Toronto Raptors #39
3,"Drug giant Johnson   Johnson agrees to buy Guidant Corp, a key player in the heart technology market, for \$25.4bn."
3,The F.C.C. voted to relax rules that had required the four large Bell telephone companies to give their rivals access to their networks at sharply discounted wholesale prices.
3,"Johnson   Johnson, the pharmaceutical and health care giant, is near a deal to buy Guidant, one of the nation's largest makers of devices to treat heart and circulatory illnesses."
3,The judge in the WorldCom lawsuit ruled that the investment banks that sold billions of dollars in the companys bonds must persuade a jury that they conducted appropriate due diligence before the offering.
4,The service will be first available on Spanish network provider Telefonica. Melodeo provides music to wireless subscribers through a mobilemusic solution that resides on the wireless phone.
2,"Instead, freshman Andrew Brackman took over in the second half of Wednesday #39"
1,ATHENS: Two suspected Albanians armed with rifles and dynamite hijacked a packed Greek passenger bus in Athens and warned they would  quot
3,The heads of General Motors Corp. and Italy #39
3,Americans have been stepping up their purchases of foreign stocks and bonds as the dollar #39
2,"Andrew Brackman helped rally ninth-ranked North Carolina State to a tougher-than-expected, 78-72 victory over Louisiana-Lafayette Wednesday night."
2,"The Pistons trailed almost the entire game. They led for only 42.6 seconds. They were down by 16 at halftime, down by five in the fourth quarter, down by four with 1:42 left, down by three with 34.4 seconds left."
2,Yao Ming wouldn #39
2,"That Ravens' swaggering defense will face its biggest test of the season Sunday, as Baltimore takes on the Colts and Peyton Manning."
2,The Bengals probably will be without quarterback Carson Palmer for Sunday's game against the Bills.
1,AFP - Italian authorities responded cautiously to reports that an Italian national may have been taken hostage and killed in Iraq.
3," PHILADELPHIA (Reuters) - Johnson   Johnson has agreed to  buy Guidant Corp. for \$25.4 billion in cash and stock, the  companies said on Wednesday, giving the healthcare products  maker a foothold in the fast-growing market for implantable  devices that regulate heartbeats."
3,"The \$35 billion merger of Sprint and Nextel announced Wednesday may make consumers jittery about rising prices in a consolidating industry, but experts say the remaining players will still wage a tough fight for every customer."
3,"Morgan Stanley yesterday said it would end a defence against hostile takeovers, change how it compensates top executives and elects board members, and disclose political contributions "
2,"Bryant, in a taped interview on ESPN #39"
2,"Coming off an eight-day break for final exams, 14th-ranked Texas had as its first assignment a non-conference match with Texas-Arlington."
2,Tracy McGrady gripped his left ankle and grimaced in pain. This time he worried he really had hurt it. McGrady had gone for a backdoor lob midway through the second quarter and stepped on the foot of Atlanta #39
1,"The Iraqi political campaign officially kicked off yesterday, colored by hope but tempered by violence that highlighted security concerns "
3,Time Warner has agreed to pay more than \$500 million to settle wide-ranging criminal and civil allegations that its America Online division improperly pumped up revenue and engaged 
3,"Wal-Mart Stores Inc. confirmed Wednesday that it dumped several executives but would not detail why they were fired. The terminations occurred over the past several days, spokeswoman Mona Williams said."
1,"Reuters - Japanese Foreign Minister Nobutaka\Machimura said on Thursday economic sanctions against North\Korea were ""one option,"" but added that care was needed in\deciding whether Tokyo should take such a step immediately."
1,"Reuters - Chess master Bobby Fischer has been\offered a new home in Iceland, but it's not clear if he'll be\able to make the move from Japan, where he is being detained."
2,"AP - All he said was, ""Jordan Black, Dallas Christian High School."" That was more than enough to upset many Notre Dame fans."
4,Apple Computer Inc. has updated the software for some of its iPod music players so that songs bought from RealNetworks Inc. won #39
2,"Instinct took over when Chauncey Billups grabbed a long rebound with 4.9 seconds left. Normally, he #39"
2,"1. Boston Red Sox. Yes, they lost one of the greatest pitchers in franchise history in Pedro Martinez when the veteran righty signed a four-year deal with the Mets."
1,India and Pakistan appear to have made some progress in a step-by-step peace process which began in January. Both countries have agreed to operationalise a nuclear hotline between their foreign secretaries as soon as possible.
1,AP - Tokyo stocks fell Thursday as the U.S. dollar weakened against the yen and oil prices began to rebound.
1,Extra  troops are sent to a remote area in west Nepal after 20 troops die in a clash with Maoist rebels.
1,"After two years of fragile peace, one of Africa's most volatile regions -- the border area of Rwanda and Congo -- has been pushed back to the brink of war with Rwandan soldiers reportedly staging raids in eastern Congo and Congolese militias clashing separately with each other."
2,"BATON ROUGE -- If you had asked me a few weeks ago about Nick Saban and his coaching future, I would have told you he #39"
2,RALEIGH The performance by the NC State men #39
2,Are these guys ever going to have a game that doesn #39
2,"Atlanta defeated Houston, 88-84, at Philips Arena last month to snap a two- game series losing streak. The Hawks, however, have lost in six straight trips to Houston...Before the game, the Rockets activated guard Tyronn Lue from the injured list."
1,"World News: London, Dec 16 : British Prime Minister Tony Blair moved quickly to fill the political vacuum created by David Blunkett #39"
3, TOKYO (Reuters) - The dollar was within reach of a record  low against the euro on Thursday as U.S. capital flows data  fueled worries that a weaker greenback would be needed to help  repair the United States' huge trade imbalance.
3,"Not even a World Series win helped. New England's outlook turned decidedly gloomy over the last year as consumer confidence plunged farther than any other part of the country, according to data released today. The Conference Board, a nonprofit economic research group in New York, said its index of consumer confidence for New England dove to 77.9 in November, down ..."
3,"Red Sox executives are considering creating a hall of fame or museum at Fenway Park to help keep the fever going, and cash flowing, all year long."
3,"MIT Media Lab officials are engaged in sensitive talks with the Irish government this week over the future of the 4-year-old Media Lab Europe in Dublin, which is facing a funding crunch."
3,"CAMBRIDGE -- In a quiet entryway of the CambridgeSide Galleria, 75-year-old Mary Dellolio stood gazing out the window, Sears bags in hand, waiting for a ride from a friend. Dellolio said she feels safe in the mall during the daytime but would never venture there after dark, though she lives only two blocks away."
3,Domestic air travelers could be surfing the Web by 2006 with government-approved technology that allows people access to high-speed Internet connections while they fly.
3,President Bush pledged yesterday to work with Congress to reduce the government's huge budget deficit as a key step in assuring the world that his administration supports a strong dollar.
3,Time Warner Inc. agreed yesterday to pay \$210 million to settle criminal securities fraud charges brought by the Justice Department against the company's America Online unit. The media giant also is prepared to pay \$300 million to end another probe by the Securities and Exchange Commission.
3,"The Mayo Group of Roxbury is expected to purchase 51 Sleeper St. in South Boston, a vacant eight-story building owned by Frank H. McCourt Jr. McCourt, who owns the Los Angeles Dodgers baseball team, defaulted on a \$22.5 million loan on the property this year. A group of investors sold the loan to Mayo Group for about \$17 million, and ..."
3,"Sprint Corp.'s agreement to buy Nextel Communications Inc. , in a \$35 billion deal unveiled yesterday, will shake up the mobile phone market and create the third largest US wireless service provider."
3,"Government regulators approved rules yesterday that would phase out discounts the four major regional telephone companies offer rivals for access to their networks, a move likely to lead to higher phone bills for some 18 million residential phone customers served by AT amp"
3,State and federal investigators said a day treatment center in Ashland for disabled people overcharged the government Medicaid program by exaggerating clients' disabilities to earn bigger payments.
3,"Oil futures prices bolted 5 percent higher yesterday, climbing above \$44 a barrel after US government data showed a slight decline in crude and heating oil supplies as colder weather in the Northeast drove up fuel demand."
3,"BURLINGTON -- Trusting, but with a tinge of nerves, Justin and Brendan McKenney melted into Santa's welcoming arms inside the Burlington Mall."
3,WOBURN -- No sooner had David Vickers finished an on-air interview with West Coast radio host Gene Burns than the requests began pouring in.
4,NEW YORK (AFP) - Moves by Internet search giant Google to create a global virtual library could signal a communications revolution on a par with Johann Gutenberg and the invention of moveable type in the 15th century.
2," Cricket-Kiwis recall Tuffey for one-day series v Sri Lanka December 15, 2004 03:47:28 WELLINGTON, Dec 16 (Reuters) - Seam bowler Daryl Tuffey was recalled to the New Zealand squad on Thursday for the one-day series with Sri Lanka which starts later "
2,"Anaheim, CA (Sports Network) - The Seattle Mariners have reportedly found their slugging first baseman for the 2005 season and beyond by coming to terms with free agent Richie Sexson."
4,"AP - Intel Corp. has reached an agreement to hire hundreds of Hewlett-Packard Co. engineers who helped design the Itanium microprocessor, a massive joint project between the two technology companies since the early 1990s."
4,AFP - Moves by Internet search giant Google to create a global virtual library could signal a communications revolution on a par with Johann Gutenberg and the invention of moveable type in the 15th century.
1,"The onslaught of the winter Typhoon Nanmadol made everyone forget the intense legislative election campaign, as early warning and disaster prevention mechanisms were initiated in the hope of minimizing damage."
3,Sprint Corp. said yesterday it will acquire Nextel Communications Inc. in a \$35-billion deal that will create the nation #39
1,Los Angeles Times - WASHINGTON  #8212
3,The plane #39
3,A federal judge ruled in Google #39
3,WASHINGTON The Triple-A holiday travel forecast projects nearly 51 (m) million pople will be hitting the road in the United States for the Christmas and New Years holiday weekends.
3,LONDON (CBS.MW) -- United Technologies (UTX) said its \$2.8 billion cash offer for UK fire safety group Kidde (UK:KID) has been accepted by Kidde #39
2,"Jamal Crawford sat in a corner of the locker room, quiet and withdrawn, in total disbelief at the opportunity he and his Knicks teammates had squandered in their bid to beat the defending NBA champion Detroit Pistons."
2,Liverpool have lost two Portsmouth #39
2,Boston - Three key Nuggets redeemed themselves Wednesday at the FleetCenter in the time it takes to microwave popcorn. That allowed Denver to atone for its mistake-laden loss at Philadelphia the previous night 
1,"Reuters - A senior official in Iraq's\Communications Ministry was shot dead as he was driving to work\in Baghdad on Thursday, a source at the ministry said."
1,"AFP - A pair of sharks killed a teenage water-skier at a popular Adelaide beach as horrified friends looked on, in Australia's second fatal shark attack in less than a week."
1,AP - The Bush administration predicts financial markets would applaud a costly overhaul of Social Security for tackling long-term financial obligations weighing on the federal budget.
1," BAGHDAD (Reuters) - A senior official in Iraq's  Communications Ministry was shot dead as he was driving to work  in Baghdad on Thursday, a source at the ministry said."
1," TOKYO (Reuters) - Japanese Foreign Minister Nobutaka  Machimura said on Thursday economic sanctions against North  Korea were ""one option"" but that care was needed in deciding if  Tokyo should take such a step immediately."
2,"Sudbury's Betty Zheng, a senior assistant captain on the Massachusetts Institute of Technology women's ice hockey team, will always remember MIT's Dec. 3 game against Chatham (Pa.) College."
2,"Its's no coincidence that since Medway's Tim Garry suited up for the UMass-Lowell men's soccer team, the River Hawks have won back-to-back Northeast-10 Conference Tournament championships and earned a pair of automatic bids to the NCAA Tournament."
2,"Former Newton South High School basketball and golf captain Matt Stehle is now a junior at Harvard University, where the 6-foot-8-inch forward was leading the men's basketball team in rebounding and steals and was second in scoring through six games."
2,You think the rush to exchange presents Dec. 26 will be furious? It might not compare with the mad dash of folks looking to reassess their 2004 viewpoints of one Tiger Woods.
3,"Agrees to \$210M Justice Dept. deal and proposes paying an additional \$300M to end SEC probe. BY HARRY BERKOWITZ. Seeking to remove a cloud that has lingered over Time Warner for years, the media giant said yesterday "
3,"NEW YORK, December 15 (newratings.com) - The US Federal Reserve announced yesterday a widely expected quarter point hike in its overnight lending rate, the fifth hike since June this year."
3,"Airline travel has always been a welcome refuge from the incessant chatter of cellphone users, so it is sobering to hear that regulators are thinking of allowing the use of cellphones up in the friendly skies."
1,"The island of Car Nicobar has been devastated by the tsunami, with around half its population unaccounted for, as the BBC's Jonathan Charles discovered."
3,abertoll writes  quot
3,"Alcohol-related auto accidents increase sharply during the holidays compared with other times in December, a study by the National Highway Traffic Safety Association shows."
3,"Wal-Mart Stores Inc. (WMT.N: Quote, Profile, Research) fired three executives and four managers from its Bentonville, Arkansas headquarters for violating company rules, the company said on Wednesday."
4,"p2pnet.net News:- Yesterday, the major movie studios turned their MPAA (Motion Picture Association of America) loose on BitTorrent and eDonkey p2p networks, claiming the effort is necessary to bring file-sharing under control."
4,Honeywell #39
2,"Congratulations to Linda Cropp and her fellow DC council members who voted with her Tuesday night. By insisting that private funding be included for a new baseball stadium in Washington, they did the right thing."
2,(Sports Network) - The Detroit Pistons will try to avoid their first three- game losing streak of the season when they head to Madison Square Garden to battle the New York Knicks.
2,"Before we talk about the possibility Rick Majerus is the greatest coaching hire in USC sports history, let #39"
1,"In his olive nylon bomber jacket, olive fatigue pants and black combat boots, Al-Aqsa Martyr #39"
1,Britain #39
1,"Pakistan plans to invite foreign investors to operate its new port of Gwadar, an unusual step for a country that has attracted little foreign capital."
3,"Oil futures prices bolted 5 percent higher yesterday, climbing above \$44 a barrel after US government data showed a slight decline in crude and heating oil supplies "
3,"Airbus, the world #39"
2,"Truly a Judge edged Star Cross by a length yesterday in Arcadia, Calif., to win the \$150,000 San Gabriel Handicap at Santa Anita Park."
4,"London - European scientists have developed light, flexible solar panels that could be sewn on fabrics and placed on surfaces to charge objects ranging from cellphones and DVD players to batteries."
2,A labor dispute between the United States Soccer Federation (USSF) and players has halted World Cup preparations and could result in the national team using replacement players for the Feb.
3," TOKYO (Reuters) - Tokyo's Nikkei average closed lower  Thursday, ending a three-day winning streak as profit-taking  hit Toyota Motor Corp. and other exporters that had benefited  from gains on Wall Street and a weaker yen."
3, LONDON (Reuters) - European shares opened firmer on  Thursday led by ABN AMRO as investors applauded the savings the  Dutch broker will make from cutting jobs.
3,Google Inc. won a major legal victory yesterday when a federal judge ruled that the search engine's advertising policy does not violate federal trademark laws.
3,"Federal prosecutors yesterday alleged that a former sales director for Serono Inc. offered doctors bribes in return for prescribing its AIDS treatment as part of a marketing program at the Swiss drug company, whose main US offices are in Rockland."
3,The announced union of Sprint and Nextel Communications yesterday marked the second mega-deal in the wireless industry this year - and the second involving a life change for a Craig McCaw-built venture.
2,"Keith Langford's twisting shot with three seconds left in overtime capped a comeback from a 16-point deficit and lifted second-ranked Kansas to a 70-68 victory over No. 9 Georgia Tech yesterday at Lawrence, Kan."
2,"As Papa Griffith used to say every Jan. 1, ""Well, it looks like we made it through another year."""
3,MANATEE - Expect airports and roads to be even more crowded than usual this holiday season. That #39
2,"DALLAS -- Looking nothing like the third-string quarterback he was most of the season, Rick Clausen led No. 15 Tennessee to five touchdowns in just 2 1/2 quarters and the defense had its way with 22d-ranked Texas A amp"
2,Major League Baseball is poised to cancel the move of the Montreal Expos to Washington after the District of Columbia Council on Tuesday amended the agreement 
2,"JACKSONVILLE, Fla. -- Nice recovery, Chris Rix. Coach Bobby Bowden stuck with his struggling quarterback and Rix eventually sparked No. 17 Florida State with two long second-half touchdown drives yesterday, beating West Virginia, 30-18, in the Gator Bowl."
2,Marion Jones has filed a 12million lawsuit for defamation against the man who alleged he supplied her with performance-enhancing drugs.
2,"Andrew Brackman provided the spark that No. 12 NC State so desperately needed Wednesday night. As a result, the Wolfpack stayed unbeaten -- barely."
2,"ATLANTA -- Miami center Joel Rodriguez walked across the confetti-covered field carrying the Peach Bowl trophy, hugging teammates and waving to fans."
1,A SECOND paper trail in the Home Office blew apart David Blunketts defence that his only involvement with his nannys visa application was to check that it was correct.
1,"The Iraqi election season officially kicked off yesterday, and the mudslinging started right away. Iraq #39"
2,"Fresh off a victory in the Liberty Bowl, Louisville coach Bobby Petrino withdrew from consideration for the job at Louisiana State yesterday."
1,Reuters - European shares opened firmer on\Thursday led by ABN AMRO as investors applauded the savings the\Dutch broker will make from cutting jobs.
1,AP - Police set up checkpoints and checked identity cards Thursday along streets leading to the area in the Saudi capital where anti-monarchists were expected to try to hold an illegal demonstration called by an exiled dissident.
2,AP - Lakers star Kobe Bryant wants to apologize to former teammate Shaquille O'Neal for mentioning his name during a police interview last year.
4,TechWeb - Baseball team keeps its eye on the technology ball by assembling an outside IT team to deploy Wi-Fi for fans.
1,AFP - Indonesia was on high alert after British and Australian warnings of a terrorist attack before Christmas amid fears that Islamic militants wanted for the Bali bombings are poised to strike again.
2,AP - NHL veteran Jim McKenzie thought about accepting a salary cap during the last lockout 10 years ago.
1,AP - THE PROBLEM: Social Security faces a  #36
4,"Reuters - Britain's town and cities have become\key survival safe havens for the country's endangered wildlife,\according to a new survey published on Thursday."
2,"Brown ground. Fast grass. Except for on the tip of Cape Cod, it doesn't really look like skiing or boarding conditions around these parts."
2,"Last night marked the first anniversary of Danny Ainge's bold, six-player trade with Cleveland in which Ricky Davis was the obvious attraction. The move generated plenty of controversy at the time, eventually cost the Celtics the services of Jim O'Brien and Dick Harter , ended a five-game winning streak, and now only Davis remains on the active roster of either ..."
1,Gunmen shoot and kill a senior official in Iraq's communication ministry on his way to work in Baghdad.
2,"Harvard running back Clifton Dawson, a sophomore, was named to the Associated Press Division 1-AA All-America football team yesterday."
2,"The NFL season has primarily been an exercise in watching the Patriots and Steelers dismantle their opposition on a weekly basis, and then trying to predict which one will blink first and lose home field for a possible playoff game."
1,Colombian security forces arrest a man they say  was in charge of the Farc  guerrillas' international ties.
2,"The Red Sox are one of seven teams that have an offer on the table to righthander Matt Clement , who came up in the Padres' system with Theo Epstein and remains one of the most attractive pitching options left on the market despite a career record under .500."
2,"Olympic track star Marion Jones filed a defamation lawsuit yesterday against BALCO head Victor Conte, who told a national TV audience that he gave her steroids and watched her inject herself with them."
2,"Leaving Beaver Creek, Colo., for Europe two weeks ago, Bode Miller had earned the distinction of being the best ski racer of the young World Cup season, and most signs were pointing toward extraordinary heights."
2,"BASEBALL Arizona (NL): Signed SS Craig Counsell. Boston (AL): Signed SS Edgar Renteria and P John Halama. Chicago (NL): Named Grady Little special assistant in player development and minor league roving catching instructor, and Randy Bush special assistant to the vice president and general manager. Cincinnati (NL): Signed Ps David Weathers and Ben Weber. Colorado (NL): Signed OF Reggie Taylor ..."
2,NHL veterans Chris Pronger and Jim McKenzie think this lockout is far worse than the one that wiped out half a season 10 years ago.
1,Justin Langer hits a century to help Australia reach 220-5 at tea on day one of the first Test in Perth.
