"Label;Description";;;;;;;;;
"2,""No. 9 Tenn. Tops Louisiana Tech 70-59 (AP)"",""AP - Alexis Hornbuckle scored 17 points for ninth-ranked Tennessee, which beat Louisiana Tech 70-59 Wednesday night to give the Lady Techsters consecutive losses at home for the first time in 14 seasons.""";;;;;;;;;
"1,""Indonesia orders security clampdown after terror warnings"",""JAKARTA, Indonesia Indonesia has ordered a nationwide security crackdown after warnings from Australia, Britain and New Zealand that terrorists plan to attack ahead of Christmas.""";;;;;;;;;
"2,""With Renteria, Boston Finally Makes a Big Deal"",""Trying to counter the loss of Pedro Martnez and their failures in other contract negotiations, the Red Sox have reached an agreement shortstop Edgar Renteria.""";;;;;;;;;
"4,""Jon Stewarts Humiliation of Tucker Carlson the Most Popular Blog Story of 2004"",""Jon Stewart's Humiliation of Tucker Carlson the Most Popular Blog Story of 2004\\According to Intelliseek's BlogPulse, the transcript of comedian Jon Stewart's October debate with CNN """"Crossfire"""" hosts Tucker Carlson and Paul Begala was the No. 1 """"blogged"""" news item of 2004. Bloggers linked to the """"Crossfire"""" transcript in their ...""";;;;;;;;;
"4,""Google Planning To Index Entire Libraries"",""Google Planning To Index Entire Libraries\\For a long time there have been rumors going around about Project Ocean, a project by Google to index all the pre-1923 content in the Stanford Library. (I'd call it a little stronger than a rumor since it was in the New York Times, but ...""";;;;;;;;;
"4,""Ask Jeeves Introduces Yet Another Desktop Search Tool"",""Ask Jeeves Introduces Yet Another Desktop Search Tool\\Ask Jeeves yesterday joined Microsoft in introducing a beta desktop search application. Ask Jeeves states that its Desktop Search makes it easy for people to find information on their computers or the Internet. Upon installation of the small (750K) application, Ask Jeeves Desktop ...""";;;;;;;;;
"4,""News: Long prison term for Lowe's wi-fi hacker"",""A 21-year-old Michigan man who tried to steal credit card numbers from a national hardware store chain is sentenced to nine years in federal prison.""";;;;;;;;;
"4,""News: Bush prepares for possible shutdown of GPS network in national crisis"",""The Associated Press By Ted Bridis""";;;;;;;;;
"4,""Mac OS X Tip of the Week: Be a Show-off "",""Want to impress your Windows-using friends and colleagues? Start a QuickTime movie, play a DVD, click on the visualizer in iTunes while it plays a song. Then press F9 and watch what happens.  Dec 15""";;;;;;;;;
"4,""A Magnetosphere of One's Own"",""Magnetospheres, the giant magnetic fields around planets, are extraordinarily good at trapping plasma. To study them, and gain insights into how to produce fusion power, a group of scientists builds a mini magnetosphere at MIT. By Rachel Metz.""";;;;;;;;;
"4,""Ecobot Eats Dead Flies for Fuel"",""Researchers are working on autonomous robots that eat to produce energy. The problem right now is that batteries are much better. By Lakshmi Sandhana.""";;;;;;;;;
"4,""Star Wars Sequel Lacks Force"",""The follow-up to last year's hit game, Star Wars Knights of the Old Republic, offers more proof that sequels often pale next to the originals. While it boasts addictive gameplay and rich character development, the sequel suffers from numerous technical glitches. Game review by Suneel Ratan.""";;;;;;;;;
"4,""Anime Freaks Now Have a Guide"",""Fans of Japanese animation get a travel book tailored to their interests. With Cruising the Anime City: An Otaku Guide to Neo Tokyo, geeks can pursue the ultimate pop-culture fix. By Chris Baker.""";;;;;;;;;
"4,""Fun of Mario Party Doesn't Last"",""Mini games that use a mic and players' voices make Mario Party 6 a raucous game. Just don't expect the novelty to last long. Game review by Chris Kohler.""";;;;;;;;;
"4,""Hollywood Wants BitTorrent Dead"",""The film studios' lobbying arm files lawsuits against the operators of sites and servers that help users of file-sharing networks locate movies and songs. By Xeni Jardin.""";;;;;;;;;
"4,""With Mini's Rivals, More Is Sometimes Less"",""This month you will be able to choose from four competitors to Apple's iPod Mini, courtesy of Dell, Rio Audio, Virgin Electronics and Creative. How do they compare?""";;;;;;;;;
"4,""And Now for Something Slightly Different"",""Apple's iPod is the 800-pound white gorilla of the digital music market. But a number of new music players, on the market or in the works, have Apple in their sights.""";;;;;;;;;
"4,""Game Ratings: U Is for Unheeded"",""When it comes to rating video games, """"teen"""" vs. """"mature"""" can be a fine line. But either way, it leads to the cash register.""";;;;;;;;;
"4,""A Comic Strip Takes Video Games Seriously (Almost)"",""An offbeat comic strip, published only on the Web, helps two video-game fans keep body and soul together.""";;;;;;;;;
"4,""Honda's Robot Advances, but to Where?"",""Despite the technological advances, Honda has not made much progress in determining just what the robot might be used for.""";;;;;;;;;
"3,""Merger could affect Nextel Partners"",""The proposed \$35 billion merger of Sprint Corp. and Nextel Communications could mean changes for Kirkland-based Nextel Partners Inc.""";;;;;;;;;
"3,""AOL fraud charges settled for \$210 mil"",""WASHINGTON - Time Warner Inc. agreed Wednesday to pay \$210 million to settle criminal securities-fraud charges brought by the Justice Department against the company #39";;;;;;;;;
"3,""FCC Considers Cell Phone Use On Airplanes"",""Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from laptops while in flight, thanks to votes by the Federal Communications Commission yesterday.""";;;;;;;;;
"3,""Caterpillar, Union Reach Tentative Pact"",""Caterpillar Inc. and its largest union, the United Auto Workers, said late on Wednesday they had tentatively agreed on a new six-year labor contract, ending a four-month stalemate.""";;;;;;;;;
"3,""J amp";;;;;;;;;
"4,""HP to make \$3 billion Itanium commitment"",""Hewlett-Packard may have transferred its last remaining Itanium processor engineers to Intel, but the server maker is standing by the technology to the tune of \$3 billion.""";;;;;;;;;
"4,""Yahoo Maps Offer Live US Traffic Conditions"",""Yahoo Inc. (YHOO.O: Quote, Profile, Research) is set to offer an online service that lets users view live US local traffic conditions on custom-created maps, the first """;;;;;;;;;
"2,""Kalou double strike sinks Rangers"",""LONDON: Striker Bonaventure Kalou netted twice to send AJ Auxerre through to the first knockout round of the Uefa Cup at the expense of Rangers last night.""";;;;;;;;;
"2,""Ailing Roddick beats Fish in exhibition match"",""ST. PAUL, Minn. -- Andy Roddick beat Mardy Fish 6-3, 6-3 in the Minnesota Tennis Challenge exhibition Wednesday night. Roddick, playing for the first time since firing coach Brad Gilbert over the weekend, was fighting a cold but still managed to win.""";;;;;;;;;
"2,""Hornets snap 11-game losing streak, top Warriors 98-89"",""The Hornets #39";;;;;;;;;
"2,""Heat #39";;;;;;;;;
"2,""Orioles Lose Sexson, Turn Attention to Burnett"",""In his true diva way, Pedro Martinez must surely be chuckling that his signing with the New York Mets has created chaos in baseball, or at least in the American """;;;;;;;;;
"2,""Ravens #39";;;;;;;;;
"2,""College Notebook: Ole Miss to hire coach"",""Mississippi has hired Southern California assistant Ed Orgeron to coach the Rebels, Orgeron #39";;;;;;;;;
"1,""Indonesia orders huge security clampdown after terror warnings &lt";;;;;;;;;
"1,""No agreement on missile test draft"",""ISLAMABAD: Pakistan and India failed to agree on the text of the draft agreement on advance notification of missile tests as the expert-level meetings on nuclear CBMs concluded here on Wednesday.""";;;;;;;;;
"1,""Blood tests show Ukrainian candidate has 6,000 times more dioxin &lt";;;;;;;;;
"4,""Time Warner Shares Surge After Settlement"",""Time Warner investors celebrate the company's settlement with SEC over AOL accounting charges Wednesday, temporarily pushing its share price to a 52-week high. &lt";&lt;B&gt;#NAME?;/b&gt;&lt;/font&gt;"
4"",""FCC Considers Cell Phone Use On Airplanes"",""Air travelers moved one step closer to being able to talk on cell phones and surf the Internet from  laptops while in flight, thanks to votes by the Federal Communications Commission yesterday.""";;
"4,""Google Wins in Suit Over Ads"",""Google Inc. won a major legal victory yesterday when a federal judge ruled that the Internet search engine's advertising policy does not violate federal trademark laws.""";;;;;;;;;
"4,""The Shipping News? Time's Almost Up"",""  The e-mail offers are coming fast and furious.&lt";;;;;;;;;
"4,""Wireless Abounds";;;;;;;;;
"4,""A Push to Restrict Sales of Video Games"",""  CHICAGO. Dec. 15 -- Decrying violence in fast-selling video games, Gov. Rod Blagojevich (D) wants Illinois to make it illegal for anyone younger than 18 to buy violent or sexually explicit games. Among the targets would be the Grand Theft Auto series, Halo 2 and Mortal Kombat.""";;;;;;;;;
"4,""U.S. Missile Defense System Test Fails"",""Latest setback for the Bush administration's effort to build a system for defending the country against ballistic missile attack fuels doubts about the system.""";;;;;;;;;
"4,""Oversight on Bioengineered Crops Is Poor, Report Says"","" Federal oversight of crops genetically engineered to produce medications  in their seeds and leaves is inadequate to prevent unwanted contamination of food crops, according to an analysis released yesterday by a scientific advocacy group. As a result, the report concludes, consumers are at risk of inadvertently dosing themselves with prescription drugs while eating a morning bowl of cereal.""";;;;;;;;;
"3,""J J Says to Buy Guidant for  #36";;;;;;;;;
"3,""Oil Climbs to Two-Week High (Reuters)"",""Reuters - Oil prices jumped to the highest\level in two weeks on Thursday, buoyed by a cold weather front\in the United States and below-average stocks of winter heating\fuels.""";;;;;;;;;
"3,""J J Says to Buy Guidant for \$25.4 Billion"","" PHILADELPHIA (Reuters) - Johnson   Johnson &lt";;;;;;;;;
"3,""SEC Calls on Fannie to Restate Earnings"","" WASHINGTON (Reuters) - The U.S. Securities and Exchange  Commission on Wednesday said Fannie Mae misapplied accounting  principles and called on the mortgage finance company to  restate earnings.""";;;;;;;;;
"3,""Japanese Stocks Recoup Early Losses"","" TOKYO (Reuters) - Japanese stocks recouped early losses by  late afternoon on Thursday as banks clawed back into positive  territory a day after a key survey showing waning business  sentiment had sparked a sell-off in the sector.""";;;;;;;;;
"3,""Caterpillar, UAW reach tentative contract deal"",""EAST PEORIA, Ill. United Auto Workers officials say they plan to hold a news conference tomorrow after the union and heavy equipment giant Caterpillar Incorporated reached a tentative agreement tonight on a new six-year contract.""";;;;;;;;;
"3,""Johnson  amp";;;;;;;;;
"1,""Five Killed, 30 Injured in Spanish Bus Crash"","" MADRID (Reuters) - Five passengers were killed and around  30 injured when their bus flipped over after tearing through  the central reservation of a motorway in the northern Spanish  province of Burgos, officials said on Sunday.""";;;;;;;;;
"1,""Hilton hotels in Indonesia hunker down after threat"",""Hilton hotels in Indonesia ratcheted up security on Thursday but said they were seeing few cancellations amid warnings from Western governments that one of their chain could be attacked by militants.""";;;;;;;;;
"1,"" #39";;;;;;;;;
"1,""Bush Warns Syria, Iran Against Meddling in Iraq (Reuters)"",""Reuters - President Bush Wednesday warned Iran\and Syria not to meddle in Iraq ahead of elections scheduled\for January 30 and voiced new hopes of forging peace between\Israel and the Palestinians.""";;;;;;;;;
"4,""Intel Plans to Hire Hewlett Designers"",""In an effort to revitalize the struggling Itanium computer chip business, Intel and Hewlett Packard said Wednesday that Intel would hire a 300-person Hewlett-Packard design team based in Fort Collins, Colo.""";;;;;;;;;
"2,""Lue returns to Rockets lineup"",""CBC SPORTS ONLINE - The Houston Rockets activated point guard Tyronn Lue off the injured list Wednesday. Lue, who missed five games with a sore right knee, had four points, an assist and a steal in Houston #39";;;;;;;;;
"2,""Mets sign Pedro for \$53M"",""The Braves will have to face Pedro Martinez regularly for the next four years. If the former Boston Red Sox right-hander with the questionable shoulder can stay healthy, that is.""";;;;;;;;;
"2,""Analysis: Philosophies keep union, NHL at odds"",""In summarizing the swap of rejected proposals that led to the latest and gloomiest freeze of negotiations in the National Hockey League #39";;;;;;;;;
"2,""College Basketball: Georgia Tech, Wake Forest Win"","" ATLANTA (Sports Network) - Isma'il Muhammad scored a  team-high 14 points, Jarrett Jack added 13 and third-ranked  Georgia Tech rolled over James Madison, 72-47, in a non-league  tilt at the Alexander Memorial Coliseum.""";;;;;;;;;
"1,""Bush Warns Syria, Iran Against Meddling in Iraq"","" WASHINGTON (Reuters) - President Bush Wednesday warned Iran  and Syria not to meddle in Iraq ahead of elections scheduled  for January 30 and voiced new hopes of forging peace between  Israel and the Palestinians.""";;;;;;;;;
"1,""Colombia Captures 'Chancellor' of FARC Rebel Group"","" BOGOTA, Colombia (Reuters) - The chief of international  relations for Colombia's biggest leftist rebel group, who once  sought support from Libyan leader Muammar Gaddafi, was arrested  after a months-long manhunt, police said on Wednesday.""";;;;;;;;;
"1,""East Congo Battle Flares, Governments Trade Blame"","" KINSHASA (Reuters) - Congolese government forces clashed  with rebels at a town near the border with Rwanda for a third  day Wednesday as the two countries traded heated accusations  over who was involved in the fighting.""";;;;;;;;;
"1,""Clarke steps into Blunkett's role"",""Charles Clarke is set to start work as Home Secretary after David Blunkett's shock resignation in a visa row.""";;;;;;;;;
"3,""Time Warner Settles 2 Cases Over AOL Unit"",""The Justice Department announced yesterday that it would defer bringing criminal securities fraud charges against the America Online unit of Time Warner as long as Time Warner adopted """;;;;;;;;;
"3,""To Try to Stop Sale, Yukos Files Chapter 11 in US"",""The Russian oil giant Yukos sought Chapter 11 bankruptcy protection in the United States on Wednesday, requesting an emergency court hearing in Texas to stop the Russian """;;;;;;;;;
"3,""ExxonMobil, Qatar land LNG financing"",""SAN FRANCISCO (CBS.MW) -- ExxonMobil Corp. and Qatar Petroleum said Wednesday they had lined up \$7.5 billion toward financing their giant Qatargas II project, which aims to export liquefied natural gas from the Middle East nation to Britain.""";;;;;;;;;
"1,""Five Dead in Peru Police Siege Shootout"","" LIMA, Peru (Reuters) - Five Peruvian police officers died  in a shootout on Sunday with an armed group who took 10  hostages in the siege of a police station in southern Peru on  New Year's Day, RPP radio reported.""";;;;;;;;;
"4,""Apple fights back against RealNetworks"",""CUPERTINO, Calif. Apple Computer is trying to stop RealNetworks from taking a bite out of the iPod market. Apple is blocking the technology used by RealNetworks Harmony music downloading service.""";;;;;;;;;
"2,""Nation #39";;;;;;;;;
"2,""Roddick Tops Fish in Exhibition Match"",""ST. PAUL, Minn. Dec 16, 2004 - Andy Roddick beat Mardy Fish 6-3, 6-3 in the Minnesota Tennis Challenge exhibition Wednesday night.""";;;;;;;;;
"2,""Bosh takes it to KG in Raptors win"",""TORONTO (CP) - It was certainly an unlikely ending to the Toronto Raptors #39";;;;;;;;;
"2,""To O #39";;;;;;;;;
"3,""J J agrees \$25.4bn Guidant deal"",""Drug giant Johnson   Johnson agrees to buy Guidant Corp, a key player in the heart technology market, for \$25.4bn.""";;;;;;;;;
"3,""Big Bells Allowed to Charge Rivals More for Line Access"",""The F.C.C. voted to relax rules that had required the four large Bell telephone companies to give their rivals access to their networks at sharply discounted wholesale prices.""";;;;;;;;;
"3,""J.  J. Is Said to Be Near Deal to Buy Guidant"",""Johnson   Johnson, the pharmaceutical and health care giant, is near a deal to buy Guidant, one of the nation's largest makers of devices to treat heart and circulatory illnesses.""";;;;;;;;;
"3,""Judge in WorldCom Lawsuit Sides With Plaintiffs on Issue of Due Diligence by Banks"",""The judge in the WorldCom lawsuit ruled that the investment banks that sold billions of dollars in the companys bonds must persuade a jury that they conducted appropriate due diligence before the offering.""";;;;;;;;;
"4,""Full Track Downloads on Mobiles"",""The service will be first available on Spanish network provider Telefonica. Melodeo provides music to wireless subscribers through a mobilemusic solution that resides on the wireless phone.""";;;;;;;;;
"2,""A scare for State"",""Instead, freshman Andrew Brackman took over in the second half of Wednesday #39";;;;;;;;;
"1,""Bus hijackers demand \$1m"",""ATHENS: Two suspected Albanians armed with rifles and dynamite hijacked a packed Greek passenger bus in Athens and warned they would  quot";;;;;;;;;
"3,""Sprint to Buy Nextel in  #36";;;;;;;;;
"3,""GM seeks mediation to resolve dispute with Fiat"",""The heads of General Motors Corp. and Italy #39";;;;;;;;;
"3,""Weak Dollar Sending More US Investors Abroad"",""Americans have been stepping up their purchases of foreign stocks and bonds as the dollar #39";;;;;;;;;
"2,""COL BKB: North Car. St. 78, Lou.-Laf. 72"",""Andrew Brackman helped rally ninth-ranked North Carolina State to a tougher-than-expected, 78-72 victory over Louisiana-Lafayette Wednesday night.""";;;;;;;;;
"2,""Pistons persevere, knock off Knicks"",""The Pistons trailed almost the entire game. They led for only 42.6 seconds. They were down by 16 at halftime, down by five in the fourth quarter, down by four with 1:42 left, down by three with 34.4 seconds left.""";;;;;;;;;
"2,""Saban: I #39";;;;;;;;;
"2,""Rockets 92, Hawks 69"",""Yao Ming wouldn #39";;;;;;;;;
"2,""Testing the Secondary"",""That Ravens' swaggering defense will face its biggest test of the season Sunday, as Baltimore takes on the Colts and Peyton Manning.""";;;;;;;;;
"2,""Palmer Likely Out"",""The Bengals probably will be without quarterback Carson Palmer for Sunday's game against the Bills.""";;;;;;;;;
"1,""Italian man may have been taken hostage, killed in Iraq (AFP)"",""AFP - Italian authorities responded cautiously to reports that an Italian national may have been taken hostage and killed in Iraq.""";;;;;;;;;
"3,""J J Seals \$25.4 Bln Pact to Buy Guidant"","" PHILADELPHIA (Reuters) - Johnson   Johnson has agreed to  buy Guidant Corp. for \$25.4 billion in cash and stock, the  companies said on Wednesday, giving the healthcare products  maker a foothold in the fast-growing market for implantable  devices that regulate heartbeats.""";;;;;;;;;
"3,""Merger may heat up fight for wireless customers"",""The \$35 billion merger of Sprint and Nextel announced Wednesday may make consumers jittery about rising prices in a consolidating industry, but experts say the remaining players will still wage a tough fight for every customer.""";;;;;;;;;
"3,""Morgan Stanley in governance move"",""Morgan Stanley yesterday said it would end a defence against hostile takeovers, change how it compensates top executives and elects board members, and disclose political contributions """;;;;;;;;;
"2,""Kobe takes on the hard questions"",""Bryant, in a taped interview on ESPN #39";;;;;;;;;
"2,""Coming off break, Horns less than sharp"",""Coming off an eight-day break for final exams, 14th-ranked Texas had as its first assignment a non-conference match with Texas-Arlington.""";;;;;;;;;
"2,""McGrady puts the hurt on Hawks"",""Tracy McGrady gripped his left ankle and grimaced in pain. This time he worried he really had hurt it. McGrady had gone for a backdoor lob midway through the second quarter and stepped on the foot of Atlanta #39";;;;;;;;;
"1,""Bombing mars launch of political campaign in Iraq"",""The Iraqi political campaign officially kicked off yesterday, colored by hope but tempered by violence that highlighted security concerns """;;;;;;;;;
"3,""\$500 million resolves criminal, civil allegations"",""Time Warner has agreed to pay more than \$500 million to settle wide-ranging criminal and civil allegations that its America Online division improperly pumped up revenue and engaged """;;;;;;;;;
"3,""Briefs: Wal-Mart fires execs, citing rules violations"",""Wal-Mart Stores Inc. confirmed Wednesday that it dumped several executives but would not detail why they were fired. The terminations occurred over the past several days, spokeswoman Mona Williams said.""";;;;;;;;;
"1,""N. Korea Economic Sanctions 'One Option' -- Japan (Reuters)"",""Reuters - Japanese Foreign Minister Nobutaka\Machimura said on Thursday economic sanctions against North\Korea were """"one option,"""" but added that care was needed in\deciding whether Tokyo should take such a step immediately.""";;;;;;;;;
"1,""Iceland Offers Ex-Chess Champ Fischer Residency (Reuters)"",""Reuters - Chess master Bobby Fischer has been\offered a new home in Iceland, but it's not clear if he'll be\able to make the move from Japan, where he is being detained.""";;;;;;;;;
"2,""Kansas City Lineman Catches Heat From ND (AP)"",""AP - All he said was, """"Jordan Black, Dallas Christian High School."""" That was more than enough to upset many Notre Dame fans.""";;;;;;;;;
"4,""RealNetworks promises iPod lockout fix"",""Apple Computer Inc. has updated the software for some of its iPod music players so that songs bought from RealNetworks Inc. won #39";;;;;;;;;
"2,""Billups keys Pistons win at MSG"",""Instinct took over when Chauncey Billups grabbed a long rebound with 4.9 seconds left. Normally, he #39";;;;;;;;;
"2,""Dolphins talking to LSU #39";;;;;;;;;
"2,""Manning #39";;;;;;;;;
"2,""Red Sox making noise in the offseason"",""1. Boston Red Sox. Yes, they lost one of the greatest pitchers in franchise history in Pedro Martinez when the veteran righty signed a four-year deal with the Mets.""";;;;;;;;;
"1,""India and Pakistan to set up a nuclear hotline"",""India and Pakistan appear to have made some progress in a step-by-step peace process which began in January. Both countries have agreed to operationalise a nuclear hotline between their foreign secretaries as soon as possible.""";;;;;;;;;
"1,""Tokyo Stocks Close Down (AP)"",""AP - Tokyo stocks fell Thursday as the U.S. dollar weakened against the yen and oil prices began to rebound.""";;;;;;;;;
"1,""Nepal army sends reinforcements"",""Extra  troops are sent to a remote area in west Nepal after 20 troops die in a clash with Maoist rebels.""";;;;;;;;;
"1,""Congo, Rwanda at Brink of War"",""After two years of fragile peace, one of Africa's most volatile regions -- the border area of Rwanda and Congo -- has been pushed back to the brink of war with Rwandan soldiers reportedly staging raids in eastern Congo and Congolese militias clashing separately with each other.""";;;;;;;;;
"1,""Colombia Captures 'Chancellor' of FARC Rebel Group"",""&lt";;;;;;;;;
"2,""Saban might be ready to scratch that NFL itch"",""BATON ROUGE -- If you had asked me a few weeks ago about Nick Saban and his coaching future, I would have told you he #39";;;;;;;;;
"2,""Sloppy Pack still has enough to remain unbeaten"",""RALEIGH The performance by the NC State men #39";;;;;;;;;
"2,""At end, Nuggets golden"",""Are these guys ever going to have a game that doesn #39";;;;;;;;;
"2,""NBA Game Summary - Atlanta at Houston"",""Atlanta defeated Houston, 88-84, at Philips Arena last month to snap a two- game series losing streak. The Hawks, however, have lost in six straight trips to Houston...Before the game, the Rockets activated guard Tyronn Lue from the injured list.""";;;;;;;;;
"1,""Blunkett resigns, Charles Clarke new home secretary:"",""World News: London, Dec 16 : British Prime Minister Tony Blair moved quickly to fill the political vacuum created by David Blunkett #39";;;;;;;;;
"3,""Dollar Near Record Low After Inflows Data"","" TOKYO (Reuters) - The dollar was within reach of a record  low against the euro on Thursday as U.S. capital flows data  fueled worries that a weaker greenback would be needed to help  repair the United States' huge trade imbalance.""";;;;;;;;;
"3,""Region's consumer confidence dives"",""Not even a World Series win helped. New England's outlook turned decidedly gloomy over the last year as consumer confidence plunged farther than any other part of the country, according to data released today. The Conference Board, a nonprofit economic research group in New York, said its index of consumer confidence for New England dove to 77.9 in November, down ...""";;;;;;;;;
"3,""Sox make off-season pitch"",""Red Sox executives are considering creating a hall of fame or museum at Fenway Park to help keep the fever going, and cash flowing, all year long.""";;;;;;;;;
"3,""Funding woes threaten MIT's Dublin media lab"",""MIT Media Lab officials are engaged in sensitive talks with the Irish government this week over the future of the 4-year-old Media Lab Europe in Dublin, which is facing a funding crunch.""";;;;;;;;;
"3,""Tension, fear after mall shooting"",""CAMBRIDGE -- In a quiet entryway of the CambridgeSide Galleria, 75-year-old Mary Dellolio stood gazing out the window, Sears bags in hand, waiting for a ride from a friend. Dellolio said she feels safe in the mall during the daytime but would never venture there after dark, though she lives only two blocks away.""";;;;;;;;;
"3,""FCC OK's wireless Net access on flights"",""Domestic air travelers could be surfing the Web by 2006 with government-approved technology that allows people access to high-speed Internet connections while they fly.""";;;;;;;;;
"3,""Bush vows to cut deficit "",""President Bush pledged yesterday to work with Congress to reduce the government's huge budget deficit as a key step in assuring the world that his administration supports a strong dollar.""";;;;;;;;;
"3,""Time Warner to settle securities fraud charges "",""Time Warner Inc. agreed yesterday to pay \$210 million to settle criminal securities fraud charges brought by the Justice Department against the company's America Online unit. The media giant also is prepared to pay \$300 million to end another probe by the Securities and Exchange Commission.""";;;;;;;;;
"3,""Roxbury group to buy S. Boston building"",""The Mayo Group of Roxbury is expected to purchase 51 Sleeper St. in South Boston, a vacant eight-story building owned by Frank H. McCourt Jr. McCourt, who owns the Los Angeles Dodgers baseball team, defaulted on a \$22.5 million loan on the property this year. A group of investors sold the loan to Mayo Group for about \$17 million, and ...""";;;;;;;;;
"3,""Wireless deal will shake up market"",""Sprint Corp.'s agreement to buy Nextel Communications Inc. , in a \$35 billion deal unveiled yesterday, will shake up the mobile phone market and create the third largest US wireless service provider.""";;;;;;;;;
"3,""FCC clears new phone rules"",""Government regulators approved rules yesterday that would phase out discounts the four major regional telephone companies offer rivals for access to their networks, a move likely to lead to higher phone bills for some 18 million residential phone customers served by AT amp";;;;;;;;;
"3,""Hospital company settles fraud claims"",""State and federal investigators said a day treatment center in Ashland for disabled people overcharged the government Medicaid program by exaggerating clients' disabilities to earn bigger payments.""";;;;;;;;;
"3,""Oil prices jump after US reports lower supplies"",""Oil futures prices bolted 5 percent higher yesterday, climbing above \$44 a barrel after US government data showed a slight decline in crude and heating oil supplies as colder weather in the Northeast drove up fuel demand.""";;;;;;;;;
"3,""A Santa Claus on everyone's list"",""BURLINGTON -- Trusting, but with a tinge of nerves, Justin and Brendan McKenney melted into Santa's welcoming arms inside the Burlington Mall.""";;;;;;;;;
"3,""Building a better English muffin"",""WOBURN -- No sooner had David Vickers finished an on-air interview with West Coast radio host Gene Burns than the requests began pouring in.""";;;;;;;;;
"4,""Global library heralds new information era"",""NEW YORK (AFP) - Moves by Internet search giant Google to create a global virtual library could signal a communications revolution on a par with Johann Gutenberg and the invention of moveable type in the 15th century.""";;;;;;;;;
